behavior_id,tactic_id,relationship
SB112,TA0008,FEND_OFF
SB112,TA0040,FEND_OFF
SB113,TA0042,FEND_OFF
SB113,TA0001,FEND_OFF
SB113,TA0003,FEND_OFF
SB113,TA0004,FEND_OFF
SB113,TA0005,FEND_OFF
SB113,TA0006,FEND_OFF
SB113,TA0008,FEND_OFF
SB113,TA0009,FEND_OFF
SB113,TA0010,FEND_OFF
SB113,TA0040,FEND_OFF
SB114,TA0001,FEND_OFF
SB114,TA0002,FEND_OFF
SB114,TA0005,FEND_OFF
SB114,TA0006,FEND_OFF
SB114,TA0040,FEND_OFF
SB116,TA0001,FEND_OFF
SB116,TA0002,FEND_OFF
SB116,TA0040,FEND_OFF
SB117,TA0006,FEND_OFF
SB117,TA0007,FEND_OFF
SB117,TA0009,FEND_OFF
SB117,TA0010,FEND_OFF
SB117,TA0040,FEND_OFF
SB119,TA0001,FEND_OFF
SB119,TA0002,FEND_OFF
SB119,TA0005,FEND_OFF
SB119,TA0006,FEND_OFF
SB119,TA0040,FEND_OFF
SB120,TA0043,FEND_OFF
SB120,TA0042,FEND_OFF
SB120,TA0001,FEND_OFF
SB120,TA0003,FEND_OFF
SB120,TA0004,FEND_OFF
SB120,TA0006,FEND_OFF
SB120,TA0009,FEND_OFF
SB120,TA0011,FEND_OFF
SB120,TA0010,FEND_OFF
SB120,TA0040,FEND_OFF
SB121,TA0043,FEND_OFF
SB121,TA0042,FEND_OFF
SB121,TA0001,FEND_OFF
SB121,TA0002,FEND_OFF
SB121,TA0003,FEND_OFF
SB121,TA0004,FEND_OFF
SB121,TA0005,FEND_OFF
SB121,TA0006,FEND_OFF
SB121,TA0007,FEND_OFF
SB121,TA0008,FEND_OFF
SB121,TA0009,FEND_OFF
SB121,TA0011,FEND_OFF
SB121,TA0010,FEND_OFF
SB121,TA0040,FEND_OFF
SB122,TA0043,FEND_OFF
SB122,TA0042,FEND_OFF
SB122,TA0001,FEND_OFF
SB122,TA0006,FEND_OFF
SB122,TA0007,FEND_OFF
SB122,TA0008,FEND_OFF
SB122,TA0009,FEND_OFF
SB122,TA0010,FEND_OFF
SB122,TA0040,FEND_OFF
SB123,TA0006,FEND_OFF
SB123,TA0007,FEND_OFF
SB123,TA0009,FEND_OFF
SB123,TA0010,FEND_OFF
SB123,TA0040,FEND_OFF
SB124,TA0040,FEND_OFF
SB125,TA0001,FEND_OFF
SB125,TA0002,FEND_OFF
SB125,TA0005,FEND_OFF
SB125,TA0040,FEND_OFF
SB126,TA0001,FEND_OFF
SB126,TA0005,FEND_OFF
SB126,TA0006,FEND_OFF
SB126,TA0009,FEND_OFF
SB126,TA0010,FEND_OFF
SB127,TA0001,FEND_OFF
SB127,TA0002,FEND_OFF
SB127,TA0008,FEND_OFF
SB127,TA0040,FEND_OFF
SB128,TA0042,FEND_OFF
SB128,TA0001,FEND_OFF
SB128,TA0002,FEND_OFF
SB128,TA0003,FEND_OFF
SB128,TA0005,FEND_OFF
SB128,TA0006,FEND_OFF
SB128,TA0007,FEND_OFF
SB128,TA0008,FEND_OFF
SB128,TA0009,FEND_OFF
SB128,TA0011,FEND_OFF
SB128,TA0010,FEND_OFF
SB128,TA0040,FEND_OFF
SB130,TA0042,FEND_OFF
SB130,TA0001,FEND_OFF
SB130,TA0003,FEND_OFF
SB130,TA0004,FEND_OFF
SB130,TA0005,FEND_OFF
SB130,TA0006,FEND_OFF
SB130,TA0007,FEND_OFF
SB130,TA0008,FEND_OFF
SB130,TA0009,FEND_OFF
SB130,TA0010,FEND_OFF
SB130,TA0040,FEND_OFF
SB131,TA0042,FEND_OFF
SB131,TA0001,FEND_OFF
SB131,TA0002,FEND_OFF
SB131,TA0003,FEND_OFF
SB131,TA0004,FEND_OFF
SB131,TA0005,FEND_OFF
SB131,TA0006,FEND_OFF
SB131,TA0007,FEND_OFF
SB131,TA0008,FEND_OFF
SB131,TA0009,FEND_OFF
SB131,TA0011,FEND_OFF
SB131,TA0010,FEND_OFF
SB131,TA0040,FEND_OFF
